State,cites/town,Type,ICSEA Ratio,Count
NSW,Warnervale,Primary,Average,1
NSW,Warnervale,Secondary,Higher ,1
WA,Waroona,Combined,Average,1
WA,Waroona,DISTRICT HIGH SCHOOLS,Higher ,1
NSW,Warren,Combined,Lower,1
WA,Waterford,Combined,Lower,1
WA,Watheroo,Primary,Higher ,1
WA,Wattle Grove,Primary,Average,1
NSW,Wauchope,Combined,Higher ,1
NSW,Wauchope,Secondary,Higher ,1
NSW,Wee Waa,Primary,Average,1
NSW,Wee Waa,Secondary,Higher ,1
WA,Wellard,Primary,Average,1
WA,Wembley Downs,Primary,Average,1
NSW,Werris Creek,Combined,Average,1
NSW,West Ballina,Combined,Average,1
NSW,West Ballina,Secondary,Higher ,1
WA,West Busselton,Primary,Higher ,1
WA,West Leederville,Primary,Average,1
WA,West Swan,Primary,Average,1
NSW,West Wyalong,Secondary,Higher ,1
WA,Westminster,Combined,Higher ,1
NSW,White Cliffs,Combined,Average,1
WA,White Gum Valley,Primary,Average,1
WA,Wickepin,Primary,Higher ,1
WA,Wickham,Primary,Higher ,1
NSW,Wilcannia,Combined,Higher ,1
WA,Willagee,Primary,Higher ,1
WA,Willetton,Secondary,Average,1
WA,Williams,Primary,Average,1
NSW,Williamtown,Primary,Lower,1
WA,Wilson,Primary,Average,1
NSW,Wingham,Secondary,Higher ,1
WA,Winthrop,Primary,Average,1
WA,Witchcliffe,Combined,Average,1
WA,Wongan Hills,DISTRICT HIGH SCHOOLS,Higher ,1
WA,Woodbridge,Primary,Average,1
WA,Woodbridge,Secondary,Higher ,1
NSW,Woodenbong,Primary,Higher ,1
NSW,Woodenbong,Secondary,Higher ,1
WA,Woodlands,Combined,Average,1
WA,Woodlands,Primary,Average,1
NSW,Woodstock,Primary,Higher ,1
NSW,Woodville,Primary,Higher ,1
NSW,Woolgoolga,Secondary,Higher ,1
NSW,Woongarrah,Secondary,Average,1
WA,Wooroloo,Primary,Higher ,1
NSW,Woy Woy,Combined,Higher ,1
NSW,Wyee,Combined,Higher ,1
NSW,Wyong,Secondary,Higher ,1
NSW,Wyong Creek,Primary,Average,1
WA,Yakamia,Primary,Higher ,1
WA,Yallingup,Combined,Average,1
WA,Yanchep,Secondary,Higher ,1
WA,Yangebup,Primary,Higher ,1
WA,Yarloop,Primary,Higher ,1
NSW,Yarramalong,Combined,Higher ,1
NSW,Yass,Secondary,Higher ,1
WA,Yealering,Primary,Average,1
NSW,Yeoval,Combined,Higher ,1
WA,Yokine,Primary,Average,1
