ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State,cites/town,ICSEA Ratio
41446,Fairvale Public School,Fairfield,2165,Primary,Major Cities,-33.8766,150.941,72,Government,School Single Entity,Department of Education NSW,909.0,67.0,22.0,9.0,2.0,32.0,37.2,4.0,4.1,636.0,287.0,349.0,636.0,2.0,93.0,NSW,Gosford,Higher 
42566,Euabalong West Public School,Euabalong West,2877,Primary,Remote,-33.05583,146.397,,Government,School Single Entity,Department of Education NSW,821.0,78.0,21.0,1.0,0.0,1.0,2.1,3.0,0.9,19.0,11.0,8.0,19.0,42.0,0.0,NSW,Sydney,Higher 
41447,Panania North Public School,Panania,2213,Primary,Major Cities,-33.9445,151.0,84,Government,School Single Entity,Department of Education NSW,1026.0,23.0,29.0,30.0,18.0,20.0,22.5,4.0,2.9,389.0,196.0,193.0,389.0,3.0,54.0,NSW,None,Average
42977,Euchareena Public School,Euchareena,2866,Primary,Outer Regional,-32.9372,149.092,,Government,School Single Entity,Department of Education NSW,,,,,,1.0,1.3,2.0,1.1,3.0,1.0,2.0,3.0,0.0,0.0,NSW,Sydney,Higher 
41448,Revesby South Public School,Revesby,2212,Primary,Major Cities,-33.9605,151.017,81,Government,School Single Entity,Department of Education NSW,1028.0,21.0,29.0,33.0,17.0,17.0,19.3,3.0,2.9,353.0,173.0,180.0,353.0,3.0,49.0,NSW,None,Average
42978,Eugowra Public School,Eugowra,2806,Primary,Outer Regional,-33.4231,148.369,,Government,School Single Entity,Department of Education NSW,848.0,80.0,20.0,0.0,0.0,2.0,2.6,1.0,0.9,27.0,14.0,13.0,27.0,26.0,0.0,NSW,Sydney,Higher 
42210,Eungai Public School,Eungai Creek,2441,Primary,Outer Regional,-30.8321,152.874,,Government,School Single Entity,Department of Education NSW,931.0,54.0,28.0,16.0,2.0,4.0,3.4,3.0,1.4,51.0,22.0,29.0,51.0,12.0,6.0,NSW,Eugowra,Higher 
41450,Leumeah Public School,Leumeah,2560,Primary,Major Cities,-34.0494,150.84,86,Government,School Single Entity,Department of Education NSW,1027.0,23.0,28.0,29.0,20.0,26.0,31.2,4.0,4.1,561.0,285.0,276.0,561.0,4.0,56.0,NSW,None,Average
42211,Eureka Public School,Eureka,2480,Primary,Inner Regional,-28.6877,153.439,,Government,School Single Entity,Department of Education NSW,1079.0,8.0,28.0,28.0,36.0,1.0,2.5,3.0,0.9,33.0,14.0,19.0,33.0,0.0,30.0,NSW,Sydney,Average
41451,Wattawa Heights Public School,Bankstown,2200,Primary,Major Cities,-33.9149,151.012,70,Government,School Single Entity,Department of Education NSW,946.0,58.0,29.0,10.0,3.0,12.0,14.0,3.0,2.4,199.0,86.0,113.0,199.0,0.0,93.0,NSW,None,Higher 
42567,Eurongilly Public School,Eurongilly,2663,Primary,Outer Regional,-34.9102,147.781,,Government,School Single Entity,Department of Education NSW,1019.0,25.0,36.0,26.0,13.0,1.0,1.8,3.0,0.8,21.0,10.0,11.0,21.0,0.0,0.0,NSW,Sydney,Average
41452,Macquarie Fields Public School,Macquarie Fields,2564,Primary,Major Cities,-33.9953,150.882,89,Government,School Single Entity,Department of Education NSW,1035.0,20.0,25.0,33.0,22.0,49.0,49.6,7.0,5.9,983.0,504.0,479.0,983.0,4.0,75.0,NSW,None,Average
42980,Euston Public School,Euston,2737,Primary,Outer Regional,-34.5756,142.744,71,Government,School Single Entity,Department of Education NSW,952.0,54.0,33.0,11.0,2.0,6.0,5.1,3.0,1.4,85.0,44.0,41.0,85.0,2.0,32.0,NSW,Sydney,Higher 
41453,Villawood North Public School,Fairfield East,2165,Primary,Major Cities,-33.8771,150.972,68,Government,School Single Entity,Department of Education NSW,918.0,68.0,22.0,9.0,1.0,15.0,18.3,3.0,2.6,269.0,136.0,133.0,269.0,0.0,93.0,NSW,None,Higher 
