ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State
41270,Gordon East Public School,Gordon,2072,Primary,Major Cities,-33.7459,151.157,97,Government,School Single Entity,Department of Education NSW,1168,1,3,20,76,14,16.3,3,2.8,314,137,177,314,0,43,NSW
41619,Colo Heights Public School,Colo Heights,2756,Primary,Outer Regional,-33.373,150.74,,Government,School Single Entity,Department of Education NSW,944,51,39,9,1,3,2.7,1,0.9,41,21,20,41,5,7,NSW
41271,Mowbray Public School,Lane Cove,2066,Primary,Major Cities,-33.8039,151.156,98,Government,School Single Entity,Department of Education NSW,1159,2,5,22,70,34,36.8,4,4.1,636,320,316,636,0,55,NSW
42720,Colo Vale Public School,Colo Vale,2575,Primary,Inner Regional,-34.4013,150.476,74,Government,School Single Entity,Department of Education NSW,975,46,33,14,6,9,11.3,4,2,183,87,96,183,1,10,NSW
41272,Forestville Public School,Forestville,2087,Primary,Major Cities,-33.7616,151.213,95,Government,School Single Entity,Department of Education NSW,1120,3,13,31,54,35,37,7,7.3,681,310,371,681,0,23,NSW
41622,Colyton Public School,Mount Druitt,2770,Primary,Major Cities,-33.7772,150.813,90,Government,School Single Entity,Department of Education NSW,1033,24,24,29,23,44,47.7,6,5.2,875,421,454,875,2,77,NSW
41273,Manly Vale Public School,Manly Vale,2093,Primary,Major Cities,-33.7835,151.26,95,Government,School Single Entity,Department of Education NSW,1118,4,12,30,54,24,28.5,6,4,521,254,267,521,1,27,NSW
42179,Comboyne Public School,Comboyne,2429,Primary,Outer Regional,-31.6053,152.473,,Government,School Single Entity,Department of Education NSW,900,68,23,5,4,2,2.6,3,0.9,31,18,13,31,23,6,NSW
41274,Epping Heights Public School,Epping,2121,Primary,Major Cities,-33.7627,151.074,98,Government,School Single Entity,Department of Education NSW,1155,1,6,23,70,25,28.5,3,4,551,270,281,551,0,77,NSW
41623,Comleroy Road Public School,Kurrajong,2758,Primary,Inner Regional,-33.5065,150.698,86,Government,School Single Entity,Department of Education NSW,1017,25,37,25,13,7,7.5,3,1.9,109,50,59,109,1,7,NSW
41275,Eastwood Heights Public School,Eastwood,2122,Primary,Major Cities,-33.7819,151.095,98,Government,School Single Entity,Department of Education NSW,1139,3,7,25,64,27,29.4,6,4,523,250,273,523,1,69,NSW
41276,Mount Kuring-gai Public School,Mount Kuring-Gai,2080,Primary,Major Cities,-33.6575,151.136,89,Government,School Single Entity,Department of Education NSW,1076,10,23,32,35,7,10.8,4,2,180,95,85,180,1,23,NSW
41277,Kent Road Public School,Eastwood,2122,Primary,Major Cities,-33.7874,151.109,98,Government,School Single Entity,Department of Education NSW,1140,3,7,25,64,41,44.7,4,4.9,790,403,387,790,1,77,NSW
42559,Conargo Public School,Conargo,2710,Primary,Outer Regional,-35.3053,145.179,,Government,School Single Entity,Department of Education NSW,913,50,47,3,0,1,1.3,2,0.7,6,0,6,6,17,0,NSW
41278,Truscott Street Public School,North Ryde,2113,Primary,Major Cities,-33.7941,151.131,92,Government,School Single Entity,Department of Education NSW,1124,5,11,28,57,20,21.6,11,6.7,324,165,159,324,0,55,NSW
41379,Concord Public School,Concord,2137,Primary,Major Cities,-33.8632,151.107,92,Government,School Single Entity,Department of Education NSW,1076,10,23,32,35,15,19,3,4.6,274,142,132,274,2,68,NSW
41279,Epping North Public School,North Epping,2121,Primary,Major Cities,-33.7576,151.095,98,Government,School Single Entity,Department of Education NSW,1157,2,7,23,69,22,24.6,5,3.5,477,233,244,477,1,41,NSW
